# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	745395
#@/user_id	609eb46f-9fbb-457e-a6d7-e0f6bbed9cc1
a 	啊	c=55 d=0.1 t=726491
an shi 	暗示	c=6 d=1 t=514123
an wei 	安慰	c=7 d=1 t=574035
an wen 	安穩	c=1 d=1 t=57852
an xia qu 	按下去	c=1 d=1 t=601759
an xie 	安歇	c=3 d=1 t=258790
an xin 	安心	c=17 d=1 t=716639
an xu 	按需	c=6 d=1 t=744579
an yi 	安逸	c=1 d=1 t=562882
an zao 	按早	c=4 d=1 t=508782
an zha 	安扎	c=3 d=1 t=550659
an zhang 	案長	c=1 d=1 t=550410
an zhao 	按照	c=665 d=1.00151 t=745327
an zhao na ge 	按照那個	c=1 d=1 t=202699
an zhe 	按着	c=1 d=1 t=725620
an zhi 	安置	c=0 d=0.1 t=210161
an zhuang 	安裝	c=175 d=1 t=741261
an zhuang bao 	安裝包	c=1 d=1 t=362989
an zhuang hao 	安裝好	c=3 d=1 t=657714
an zhuang man 	安裝慢	c=1 d=1 t=62450
an zhuang su du 	安裝速度	c=1 d=1 t=5848
an zu ang 	按組昂	c=2 d=1 t=495805
an zu hang 	案組行	c=1 d=1 t=78021
ang 	昂	c=1 d=1 t=489856
ang cang 	昂藏	c=1 d=1 t=472192
ang gui 	昂貴	c=1 d=1 t=38736
ang ke 	昂科	c=4 d=1 t=383887
ang le 	昂了	c=1 d=1 t=21240
ao 	奧	c=10 d=1 t=730372
ao 	熬	c=3 d=1 t=629921
ao ba 	奧巴	c=1 d=1 t=114977
ao da li ya 	澳大利亞	c=6 d=2.80998 t=528180
ao dao 	熬到	c=0 d=0.1 t=25809
ao de 	奧的	c=2 d=1 t=672926
ao di 	奧迪	c=0 d=0.1 t=726507
ao di ma 	奧迪嗎	c=1 d=1 t=726508
ao guo 	熬過	c=0 d=0.1 t=714353
ao guo lai 	熬過來	c=1 d=1 t=30166
ao le 	奧了	c=1 d=1 t=374339
ao men 	澳門	c=8 d=1 t=664033
ao pao 	傲跑	c=1 d=1 t=217893
ao shu 	奧數	c=0 d=0.1 t=429658
ao shu en wei xiao 	奧數恩微笑	c=1 d=1 t=429659
ao si 	奧斯	c=2 d=1 t=692582
ao si wei xin 	奧斯威辛	c=2 d=1.74082 t=429720
ao te man 	奧特曼	c=6 d=1 t=727718
ao tou 	鰲頭	c=0 d=0.1 t=329150
ao tou le 	鰲頭了	c=1 d=1 t=329151
ao xiang 	翱翔	c=1 d=1 t=489832
ao ye 	熬夜	c=2 d=1 t=191190
ao yun 	奧運	c=2 d=1 t=202441
ao zhou 	澳洲	c=8 d=1 t=547549
ba 	八	c=14 d=1 t=652762
ba 	吧	c=5873 d=3.72618 t=745383
ba 	把	c=2106 d=1.8765 t=745255
ba 	霸	c=1 d=1 t=163917
ba ba 	巴巴	c=9 d=1 t=618257
ba ba 	爸爸	c=9 d=1 t=713849
ba ba mai 	把把脈	c=1 d=1 t=711283
ba bu de 	巴不得	c=2 d=1 t=520390
ba bu fen 	吧部分	c=1 d=1 t=538885
ba da 	八大	c=1 d=1 t=591573
ba diao 	拔掉	c=1 d=1 t=38285
ba fang 	八方	c=1 d=1 t=355057
ba fang cai 	把方纔	c=1 d=1 t=43912
ba fang cheng 	八方城	c=14 d=1.00003 t=641218
ba gan zi da bu dao 	把竿子打不倒	c=1 d=1 t=106691
ba ge 	八個	c=1 d=1 t=595775
ba ge zi 	八個字	c=1 d=1 t=112629
ba gu wen 	八股文	c=1 d=1 t=56184
ba gua 	八卦	c=20 d=0.1 t=723424
ba gua ma 	八卦嗎	c=1 d=1 t=723425
ba guan 	把關	c=11 d=1 t=720884
ba ji si tan 	巴基斯坦	c=1 d=1 t=166907
ba kong 	把控	c=16 d=1 t=739530
ba kong 	把空	c=1 d=1 t=60140
ba kong zhu 	把控住	c=1 d=1 t=543938
ba la 	扒拉	c=1 d=1 t=474452
ba lei 	芭蕾	c=1 d=1 t=405543
ba ma 	爸媽	c=3 d=1 t=706740
ba mai 	把脈	c=0 d=0.1 t=711282
ba mian 	八面	c=1 d=1 t=181081
ba ni 	把你	c=1 d=1 t=141668
ba pu 	吧鋪	c=1 d=1 t=169717
ba pu luo fu 	吧普羅服	c=1 d=1 t=169716
ba qi 	八七	c=3 d=1 t=304658
ba qi 	霸氣	c=1 d=1 t=34739
ba ren 	把人	c=1 d=1 t=150078
ba se 	把色	c=1 d=1 t=634306
ba ta 	把他	c=1 d=1 t=139756
ba ta 	把它	c=4 d=1 t=444649
ba wo 	把我	c=2 d=1 t=519536
ba wo 	把握	c=19 d=1 t=628283
ba xi 	巴西	c=1 d=1 t=601626
ba xiao shi 	八小時	c=1 d=1 t=293160
ba yue fen 	八月份	c=1 d=1 t=561595
ba zhe 	八折	c=1 d=1 t=310283
bai 	掰	c=1 d=1 t=460820
bai 	擺	c=2 d=1 t=452187
bai 	敗	c=1 d=1 t=324114
bai 	白	c=17 d=1 t=661683
bai 	百	c=1 d=1 t=73446
bai bai 	拜拜	c=1 d=1 t=546371
bai bai ma tou 	拜拜碼頭	c=1 d=1 t=499803
bai ban 	白板	c=1 d=1 t=527218
bai bei 	百倍	c=1 d=1 t=691815
bai bi 	敗筆	c=1 d=1 t=555700
bai che 	擺扯	c=3 d=1 t=692782
bai che qing chu 	擺扯清楚	c=1 d=1 t=442456
bai chi 	白癡	c=1 d=1 t=620718
bai da 	白搭	c=1 d=1 t=151410
bai dao 	擺到	c=1 d=1 t=310795
bai di 	白底	c=1 d=1 t=710198
bai du 	拜讀	c=2 d=1 t=567474
bai du 	百度	c=185 d=1 t=692589
bai du yun 	百度雲	c=4 d=1 t=622937
bai fang 	拜訪	c=4 d=1 t=654760
bai fang 	擺放	c=3 d=1 t=688696
bai fen bi 	百分比	c=5 d=1 t=730591
bai hua qi fang 	百花齊放	c=2 d=1 t=543012
bai huo 	百貨	c=1 d=1 t=732677
bai ke 	百科	c=3 d=1.90032 t=645115
bai ke quan shu 	百科全書	c=1 d=1 t=133230
bai kou mo bian 	百口莫辯	c=1 d=1 t=161088
bai mang 	百忙	c=2 d=1 t=613811
bai ming 	百名	c=1 d=1 t=368642
bai ming dan 	白名單	c=41 d=1.85493 t=678004
bai nian 	百年	c=1 d=1 t=490472
bai pao 	白袍	c=1 d=1 t=717048
bai pao 	白跑	c=1 d=1 t=726865
bai pi shu 	白皮書	c=2 d=1 t=585736
bai ping 	白屏	c=4 d=1 t=688466
bai ping lv 	白屏率	c=1 d=1 t=328520
bai ren 	白人	c=1 d=1 t=624385
bai se 	白色	c=15 d=1 t=735899
bai tian 	白天	c=7 d=1 t=663353
bai tuo 	擺脫	c=1 d=1 t=185069
bai wan 	百萬	c=1 d=1 t=520085
bai yang shu 	白楊樹	c=1 d=1 t=11886
bai yang zuo 	白羊座	c=1 d=1 t=678658
bai ying 	百應	c=1 d=1 t=12790
bai zhe 	擺着	c=2 d=1 t=699873
ban 	半	c=36 d=1 t=728107
ban 	搬	c=2 d=1 t=637601
ban 	板	c=1 d=1 t=705500
ban 	版	c=20 d=1.73577 t=706488
ban 	班	c=18 d=1 t=670330
ban 	辦	c=6 d=1 t=646555
ban an 	辦案	c=1 d=1 t=363780
ban ben 	版本	c=705 d=1.42165 t=743785
ban ben hao 	版本號	c=41 d=1.64726 t=744677
ban ben shi 	版本是	c=1 d=1 t=660593
ban che 	班車	c=9 d=1 t=715691
ban cheng pin 	半成品	c=2 d=1 t=682350
ban chu 	搬出	c=1 d=1 t=169594
ban chu lai 	搬出來	c=1 d=1 t=552783
ban dao 	搬到	c=26 d=1 t=730133
ban dao ti 	半導體	c=1 d=1 t=410174
ban ding 	頒訂	c=1 d=1 t=490652
ban fa 	辦法	c=103 d=1 t=742647
ban fa 	頒發	c=2 d=1 t=468235
ban fa bu 	辦法不	c=1 d=1 t=709772
ban fan 	拌飯	c=1 d=1 t=477619
ban ge 	半個	c=67 d=1 t=727245
ban ge yue 	半個月	c=1 d=1 t=161773
ban gong 	辦公	c=88 d=1.97045 t=661009
ban gong qu 	辦公區	c=17 d=1.31179 t=620418
ban gong shi 	辦公室	c=12 d=1.11136 t=619085
ban gong wang 	辦公網	c=2 d=1 t=193558
ban guo lai 	搬過來	c=11 d=1 t=716863
ban guo lai 	辦過來	c=1 d=1 t=59896
ban guo qu 	搬過去	c=19 d=1 t=738709
ban guo qu 	辦過去	c=2 d=1 t=56997
ban hao 	辦好	c=2 d=1 t=503239
ban ji 	班級	c=4 d=1.9802 t=603294
ban jia 	搬家	c=16 d=1 t=705447
ban jiang 	頒獎	c=2 d=1 t=489763
ban jiao shi 	絆腳石	c=1 d=1 t=449942
ban jin 	搬進	c=0 d=0.1 t=700388
ban jin lai 	搬進來	c=2 d=1.96079 t=700397
ban jin qu 	搬進去	c=1 d=1 t=162851
ban ju 	半句	c=0 d=0.1 t=534265
ban kuai 	板塊	c=2 d=1 t=359888
ban kuai 	版塊	c=1 d=1 t=284922
ban le 	搬了	c=1 d=1 t=2043
ban li 	辦理	c=112 d=1.90556 t=717708
ban li guo 	辦理過	c=1 d=1 t=503307
ban li hao 	辦理好	c=1 d=1 t=715535
ban li me 	辦理麼	c=1 d=1 t=516958
ban li qian zheng 	辦理簽證	c=1 d=1 t=571296
ban liang 	半兩	c=0 d=0.1 t=162687
ban liang ge ren 	半兩個人	c=1 d=1 t=162688
ban lu 	半路	c=1 d=1 t=558173
ban ma xian 	斑馬線	c=1 d=1 t=670351
ban mao qian 	半毛錢	c=3 d=1 t=539218
ban nian 	半年	c=216 d=1 t=714873
ban nian duo 	半年多	c=3 d=1 t=441896
ban nian hou 	半年後	c=1 d=1 t=379032
ban nian qian 	半年前	c=1 d=1 t=5889
ban nian zhu yao 	半年主要	c=1 d=1 t=597247
ban qian 	搬遷	c=1 d=1 t=678209
ban quan 	版權	c=4 d=1 t=592289
ban shang 	搬上	c=1 d=1 t=358106
ban shang ding ding 	板上釘釘	c=2 d=1 t=525746
ban shang lai 	搬上來	c=1 d=1 t=695039
ban shang qu 	搬上去	c=2 d=1 t=87097
ban shen 	半身	c=1 d=1 t=234811
ban shi er 	辦事兒	c=1 d=1 t=342991
ban sui 	伴隨	c=4 d=1 t=602656
ban sui zhe 	伴隨着	c=10 d=1 t=716074
ban tao 	辦套	c=1 d=1 t=125627
ban tian 	半天	c=31 d=1 t=738881
ban tu 	版圖	c=1 d=1 t=742675
ban wan 	辦完	c=14 d=1 t=336116
ban xia qu 	搬下去	c=1 d=1 t=18971
ban xiao shi 	半小時	c=3 d=1 t=522156
ban xue 	辦學	c=1 d=1 t=264316
ban yan 	扮演	c=4 d=1 t=744300
ban ye 	半夜	c=2 d=1 t=361219
ban yue 	半月	c=2 d=0.1 t=283637
ban yun 	搬運	c=6 d=1.02328 t=439382
ban zhang 	班長	c=1 d=1 t=576900
ban zhu 	版主	c=1 d=1 t=253744
ban zhu ren 	班主任	c=1 d=1 t=610150
ban zhuan 	板磚	c=3 d=1.17464 t=330827
ban zou 	伴奏	c=5 d=3.77105 t=611678
ban zou 	搬走	c=2 d=1 t=264364
bang 	幫	c=69 d=1.00001 t=738388
bang 	棒	c=2 d=1 t=631912
bang 	邦	c=2 d=1 t=43419
bang bang mang 	幫幫忙	c=1 d=1 t=79634
bang bu shang 	幫不上	c=4 d=1 t=702236
bang de shang 	幫的上	c=1 d=1 t=552250
bang din 	幫𨈖	c=1 d=1 t=665498
bang ding 	幫頂	c=0 d=0.1 t=214861
bang ding 	綁定	c=98 d=1.9802 t=738378
bang ding dao 	幫頂到	c=3 d=1 t=682604
bang ding hao 	綁定好	c=3 d=1 t=543917
bang jia 	綁架	c=1 d=1 t=498300
bang mang 	幫忙	c=347 d=1.42318 t=743799
bang mang kan kan 	幫忙看看	c=1 d=1 t=626989
bang mang zheng li 	幫忙整理	c=1 d=1 t=465551
bang ni 	幫你	c=20 d=1 t=684625
bang ni mang 	幫你忙	c=2 d=1 t=711281
bang shang 	幫上	c=0 d=0.1 t=325828
bang shang mang 	幫上忙	c=2 d=1 t=539085
bang ta 	幫他	c=16 d=1.91393 t=630689
bang ta 	幫她	c=6 d=1 t=635939
bang ta men 	幫他們	c=4 d=1 t=620574
bang tuan dui 	幫團隊	c=1 d=1 t=274991
bang wo 	幫我	c=76 d=1 t=732250
bang wo ma 	幫我嗎	c=5 d=1 t=287919
bang wo men 	幫我們	c=1 d=1 t=152047
bang wo suan 	幫我算	c=1 d=1 t=180107
bang yang 	榜樣	c=2 d=1 t=271155
bang zai 	綁在	c=1 d=1 t=40248
bang zai yi qi 	幫在一起	c=1 d=1 t=468397
bang zhu 	幫助	c=153 d=2.28813 t=739387
bang zhu dao 	幫助到	c=5 d=1 t=668862
bang zhu ma 	幫助嗎	c=1 d=1 t=182177
bao 	包	c=196 d=1.00001 t=738549
bao 	報	c=11 d=1 t=727413
bao 	寶	c=15 d=1 t=707263
bao 	抱	c=6 d=1 t=654624
bao 	飽	c=1 d=1 t=199392
bao bao 	寶寶	c=14 d=1 t=716427
bao bei 	報備	c=18 d=1.00018 t=639150
bao bian bu yi 	褒貶不一	c=1 d=1 t=278387
bao biao 	報表	c=23 d=1 t=724288
bao bu zhu 	保不住	c=1 d=1 t=290558
bao chi 	保持	c=292 d=1.00075 t=742922
bao chi hao 	保持好	c=1 d=1 t=80900
bao chi zhe yang zi 	保持這樣子	c=1 d=1 t=698588
bao chi zhu 	保持住	c=1 d=1 t=449663
bao chou 	報酬	c=1 d=1 t=732836
bao chu 	爆出	c=1 d=1 t=46593
bao cu wo 	包粗我	c=1 d=1 t=698315
bao cun 	保存	c=16 d=1 t=693102
bao cuo 	報錯	c=172 d=1.02858 t=743609
bao cuo le 	報錯了	c=1 d=1 t=363654
bao cuo shi 	報錯是	c=1 d=1 t=73966
bao da 	報答	c=1 d=1 t=500977
bao dao 	報到	c=8 d=1.93239 t=456855
bao dao 	報道	c=6 d=1.14442 t=658436
bao dao zai 	報到在	c=1 d=1 t=419553
bao di 	保底	c=1 d=1 t=389468
bao fa 	爆發	c=2 d=1 t=658283
bao fa o 	爆發哦	c=1 d=1 t=74509
bao fu 	包袱	c=11 d=1 t=734228
bao gao 	報告	c=57 d=1.28224 t=725278
bao guan 	保管	c=2 d=1 t=613782
bao guan hao 	保管好	c=1 d=1 t=608348
bao guan li 	包管理	c=2 d=1 t=322766
bao guang 	曝光	c=3 d=1 t=351781
bao gui 	寶貴	c=1 d=1 t=435147
bao han 	包含	c=72 d=1.09348 t=743870
bao han le 	包含了	c=1 d=1 t=240101
bao han zai 	包含在	c=1 d=1 t=165587
bao he 	飽和	c=2 d=1 t=664571
bao he du 	飽和度	c=1 d=1 t=664568
bao hu 	保護	c=1 d=0.1 t=312999
bao hu qu 	保護區	c=1 d=1 t=544029
bao hu zhu 	保護住	c=1 d=1 t=313000
bao ji 	包機	c=1 d=1 t=253881
bao jia 	報價	c=5 d=1 t=675986
bao jian 	保健	c=1 d=1 t=113501
bao jian 	包間	c=3 d=1 t=622617
bao jian cao 	保健操	c=1 d=1 t=610133
bao jie 	保潔	c=1 d=1 t=34495
bao jing 	報警	c=41 d=1 t=702745
bao kuo 	包括	c=148 d=1 t=743993
bao le 	報了	c=1 d=1 t=362786
bao lei 	暴雷	c=1 d=1 t=153684
bao li 	暴力	c=5 d=1 t=503132
bao liao 	爆料	c=3 d=1 t=375975
bao liu 	保留	c=85 d=1 t=741605
bao liu zhe 	保留着	c=1 d=1 t=731243
bao lu 	暴露	c=32 d=1.00003 t=736017
bao man 	爆滿	c=1 d=1 t=154782
bao man 	飽滿	c=3 d=1 t=707927
bao mi 	保密	c=24 d=1 t=672092
bao mi xiang mu 	保密項目	c=1 d=1 t=514997
bao mi xie yi 	保密協議	c=1 d=1 t=483614
bao ming 	保命	c=2 d=1 t=544311
bao ming 	包名	c=4 d=1 t=686330
bao ming 	報名	c=42 d=1 t=686329
bao piao 	包票	c=1 d=1 t=206547
bao qian 	抱歉	c=14 d=1 t=739433
bao rong 	包容	c=4 d=3.46015 t=354092
bao shang lai 	報上來	c=1 d=1 t=230602
bao shang qu 	報上去	c=2 d=1 t=152048
bao shou 	保守	c=6 d=1 t=681740
bao shu 	寶書	c=1 d=1 t=410251
bao ti ji 	包體積	c=4 d=1.00007 t=722553
bao wei 	保衛	c=1 d=1 t=342163
bao wei 	包圍	c=1 d=1 t=633390
bao wen 	保溫	c=12 d=1 t=342164
bao xi 	報喜	c=1 d=1 t=651763
bao xian 	保險	c=21 d=1.70385 t=732960
bao xian 	保鮮	c=1 d=1 t=636862
bao xian dai 	保鲜袋	c=5 d=4.362 t=636920
bao xiao 	報銷	c=71 d=2.19959 t=733101
bao yi ci 	褒義詞	c=1 d=1 t=526280
bao you 	包郵	c=4 d=1 t=293802
bao yuan 	報怨	c=4 d=1 t=548319
bao zang 	寶藏	c=1 d=1 t=513116
bao zao 	暴躁	c=1 d=1 t=362775
bao zha 	爆炸	c=1 d=1 t=91073
bao zhang 	保障	c=31 d=1 t=704552
bao zhang 	報賬	c=1 d=1 t=216795
bao zhen 	保真	c=1 d=1 t=443444
bao zheng 	保證	c=264 d=1.00002 t=738169
bao zhi qi 	保質期	c=1 d=1 t=670416
bao zhong 	保重	c=2 d=1.99501 t=584486
bao zhu 	保住	c=2 d=1 t=738170
bao zhu 	抱住	c=1 d=1 t=524253
bao zhuang 	包裝	c=17 d=1 t=742811
bao zi 	包子	c=6 d=1 t=660063
be 	别	c=4 d=1 t=673310
be jing 	别經	c=1 d=1 t=86684
bei 	倍	c=12 d=1.99501 t=743504
bei 	北	c=43 d=1.54607 t=672000
bei 	唄	c=66 d=1 t=736860
bei 	盃	c=2 d=1 t=615339
bei 	背	c=13 d=1.01284 t=597260
bei 	被	c=499 d=1.00001 t=738638
bei 	貝	c=1 d=1 t=5221
bei ai 	悲哀	c=1 d=1 t=143209
bei an 	備案	c=21 d=1 t=526410
bei ban qiu 	北半球	c=1 d=1 t=134840
bei ci 	被刺	c=1 d=1 t=282649
bei da 	北大	c=3 d=1 t=23912
bei dan ci 	背單詞	c=1 d=1 t=496505
bei dong 	被動	c=24 d=1 t=736324
bei er 	貝爾	c=0 d=0.1 t=694025
bei fa xian 	被發現	c=1 d=1 t=239752
bei fen 	備份	c=14 d=1 t=568971
bei fu 	背負	c=3 d=1 t=572033
bei guan 	悲觀	c=3 d=1 t=423105
bei guang 	背光	c=1 d=1 t=738692
bei hai 	北海	c=5 d=3.76531 t=213886
bei hao 	備好	c=1 d=1 t=583014
bei hou 	背後	c=38 d=1 t=731419
bei ji xing 	北極星	c=10 d=1 t=730627
bei jing 	北京	c=752 d=1.38098 t=742167
bei jing 	背景	c=322 d=1.99005 t=739346
bei jing tu 	背景圖	c=2 d=1 t=121614
bei jing xia 	背景下	c=1 d=1 t=516414
bei jing zheng fu 	北京政府	c=1 d=1 t=369016
bei jing zhi shi 	背景知識	c=1 d=1 t=367728
bei ju 	悲劇	c=2 d=1 t=613345
bei kao 	背靠	c=1 d=1 t=99881
bei kao bei 	背靠背	c=1 d=1 t=402189
bei ke 	貝殼	c=46 d=1.94649 t=519076
bei ke ding 	贝壳灯	c=1 d=1 t=506061
bei li 	背離	c=1 d=1 t=311372
bei lv 	倍率	c=1 d=1 t=131047
bei mei 	北美	c=6 d=1 t=626316
bei mei you 	被沒有	c=1 d=1 t=146020
bei men 	北門	c=4 d=1 t=210448
bei mian 	背面	c=11 d=1.00001 t=268989
bei ni 	被你	c=1 d=1 t=75686
bei po 	被迫	c=9 d=1 t=526552
bei ren 	被人	c=15 d=1 t=714802
bei shou 	備受	c=1 d=1 t=627836
bei shou gou 	被收購	c=1 d=1 t=378648
bei shu 	背書	c=7 d=1 t=580998
bei shui 	被誰	c=1 d=1 t=300844
bei ta 	被他	c=1 d=1 t=280292
bei ta 	被她	c=1 d=1 t=608368
bei tai 	備胎	c=1 d=1 t=129330
bei wo 	被我	c=6 d=1 t=364719
bei xia lai 	背下來	c=1 d=1 t=98541
bei xuan 	備選	c=3 d=1 t=415133
bei yong 	備用	c=1 d=1 t=499200
bei yong hu 	被用戶	c=1 d=1 t=96485
bei yue 	北約	c=1 d=1 t=608535
bei zeng 	倍增	c=2 d=1.99005 t=723395
bei zhu 	備註	c=33 d=1 t=733420
bei zhu hao le 	備註好了	c=1 d=1 t=405135
bei zhua 	被抓	c=1 d=1 t=164265
bei zhuang 	悲壯	c=1 d=1 t=459095
bei zi 	輩子	c=1 d=1 t=476839
bei zuo si 	贝佐斯	c=1 d=1 t=272230
ben 	本	c=49 d=1 t=711433
ben ben 	本本	c=2 d=1 t=665275
ben chan pin 	本產品	c=1 d=1 t=464742
ben ci 	本次	c=71 d=1 t=718505
ben di 	本地	c=257 d=1 t=741403
ben di bao 	本地寶	c=2 d=1 t=624982
ben di hua 	本地化	c=7 d=1 t=726142
ben di ku 	本地庫	c=1 d=1 t=329296
ben di ren 	本地人	c=1 d=1 t=294410
ben di tiao shi 	本地調試	c=1 d=1 t=696873
ben fen 	本分	c=1 d=1 t=651683
ben ke 	本科	c=38 d=1 t=610802
ben ke xue li 	本科學歷	c=1 d=1 t=571183
ben ken 	本肯	c=2 d=1.99501 t=136830
ben lai 	本來	c=235 d=1.96079 t=741395
ben lai xiang 	本來想	c=1 d=1 t=318150
ben lun 	本論	c=3 d=1 t=676224
ben ming 	本名	c=1 d=1 t=1042
ben mo 	本末	c=1 d=1 t=116498
ben mo dao zhi 	本末倒置	c=1 d=1 t=116487
ben neng 	本能	c=1 d=1 t=178222
ben pao 	奔跑	c=1 d=1 t=670380
ben ren 	本人	c=10 d=1.89583 t=717699
ben sen 	本森	c=1 d=1 t=398685
